date,symbol,calendarYear,period,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,sma,ema,wma,dema,tema,williams,rsi,adx,standardDeviation
2023-09-22,1101.TW,2023,Q3,33.5,33.6,33.35,33.5,33.5,23115549,23115549,0.0,0.0,33.48,"September 22, 23",0.0,34.77,34.8053724690511,34.604761904761915,34.15818219778339,34.11984198295908,-93.3333333333334,32.539904114713565,20.481707700028977,0.5586591089385368
2023-09-21,1101.TW,2023,Q3,34.25,34.25,33.8,33.8,33.8,28985239,28985239,-0.45,-1.31,33.95,"September 21, 23",-0.0131,34.85,34.94278009737227,34.73333333333333,34.36487216271334,34.39177847241104,-100.0,34.34340752486905,19.644612817798283,0.480104155366312
2023-09-20,1101.TW,2023,Q3,34.8,34.85,34.35,34.35,34.35,20840931,20840931,-0.45,-1.29,34.52,"September 20, 23",-0.0129,34.925,35.06307273920093,34.84047619047619,34.544625032196045,34.633823812673846,-80.64516129032235,38.01281340751227,19.091231985723326,0.42411672921496435
2023-09-19,1101.TW,2023,Q3,35.1,35.15,34.8,34.8,34.8,11049333,11049333,-0.3,-0.8547,34.92,"September 19, 23",-0.008547,34.9725,35.138133027537876,34.89976190476191,34.640172166027305,34.75924713731289,-51.61290322580658,41.45559050187558,18.980150620340304,0.41002286521607473
2023-09-18,1101.TW,2023,Q3,35.1,35.2,35.0,35.1,35.1,9091177,9091177,0.0,0.0,35.1,"September 18, 23",0.0,35.0025,35.17372597780502,34.91904761904762,34.65894113377101,34.77372633003689,-32.25806451612894,43.97819174680425,19.322416837859233,0.4181731100871973
2023-09-15,1101.TW,2023,Q3,35.3,35.35,35.05,35.1,35.1,13648505,13648505,-0.2,-0.56657,35.17,"September 15, 23",-0.0056657,35.01749999999999,35.18148660704765,34.91119047619047,34.620274513936906,34.700715113364566,-32.25806451612894,43.97819174680425,19.908607046497004,0.4266951487889207
2023-09-14,1101.TW,2023,Q3,35.4,35.5,35.3,35.5,35.5,12171571,12171571,0.1,0.28249,35.43,"September 14, 23",0.0028249,35.019999999999996,35.19006414463161,34.90357142857143,34.57835463193527,34.61676524329603,-17.14285714285698,47.45286426075324,20.58259756832412,0.42731721238442905
2023-09-13,1101.TW,2023,Q3,34.85,35.3,34.85,35.3,35.3,21998257,21998257,0.45,1.29,35.15,"September 13, 23",0.0129,35.02749999999999,35.15743931775073,34.85857142857143,34.448714503152836,34.39415303486053,-37.5,45.40391295423634,21.58198202825537,0.43688528242548863
2023-09-12,1101.TW,2023,Q3,34.3,34.65,34.3,34.6,34.6,11557026,11557026,0.3,0.87464,34.52,"September 12, 23",0.0087464,35.06499999999999,35.14243293014554,34.836190476190474,34.344099115879516,34.19418533546727,-78.43137254901947,37.27107575981555,22.381625773366693,0.4878780585351209
2023-09-11,1101.TW,2023,Q3,34.1,34.2,34.05,34.2,34.2,9588295,9588295,0.1,0.29326,34.15,"September 11, 23",0.0029326,35.17,35.19953113331875,34.89047619047619,34.37426038388215,34.181629270361206,-94.73684210526297,31.752142533278132,22.268337309656673,0.5914811915860042
2023-09-08,1101.TW,2023,Q3,34.3,34.35,34.05,34.1,34.1,15373460,15373460,-0.2,-0.58309,34.17,"September 08, 23",-0.0058309,35.302499999999995,35.30474493682598,34.99547619047619,34.49781738569276,34.303252511157176,-98.57142857142846,30.295641323899403,21.320954555296147,0.6529691799771257
2023-09-07,1101.TW,2023,Q3,34.4,34.55,34.2,34.35,34.35,15756901,15756901,-0.05,-0.14535,34.37,"September 07, 23",-0.0014535,35.467499999999994,35.43156019333398,35.12571428571428,34.666508156484205,34.49333828312305,-95.77464788732398,31.91318333378115,20.32370955070612,0.7394719399679747
2023-09-06,1101.TW,2023,Q3,34.9,34.95,34.35,34.4,34.4,33267817,33267817,-0.5,-1.43,34.57,"September 06, 23",-0.0143,35.5925,35.545408634737555,35.24404761904762,34.813673245938745,34.65559161290633,-98.52941176470597,32.24024325604529,19.39819148398065,0.7512115214771405
2023-09-05,1101.TW,2023,Q3,35.15,35.25,35.0,35.0,35.0,15081012,15081012,-0.15,-0.42674,35.08,"September 05, 23",-0.0042674,35.730000000000004,35.665977964709924,35.37071428571429,34.97778712811519,34.84660987538871,-96.4912280701754,36.505223959305226,18.551411092262512,0.7717512552629895
2023-09-04,1101.TW,2023,Q3,35.15,35.25,34.9,35.2,35.2,14505906,14505906,0.05,0.14225,35.12,"September 04, 23",0.0014225,35.834999999999994,35.7360809083636,35.45023809523809,35.04555187472835,34.898228293095414,-89.47368421052617,38.101328104158696,18.30944798193308,0.8073258326103534
